"entrées et plats composés";"soupes";"-";"Bouillon de boeuf, déshydraté reconstitué";"9,05";"97,6";"0,6";"1,33";"0,15";"0,33";"0";"0";"0";"0,057";"0,068";"0,0072";"0,74";"5,25";"-";"0,041";"0,15";"-";"2";"0,027";"0,01";"0,01";"0";"290";"0,048";"0";"0";"0";"0,01";"0";"-";"0";"0,0029";"0,015";"0,55";"0,016";"0,0083";"1,75";"0,065"
"entrées et plats composés";"soupes";"-";"Soupe aux asperges, déshydratée reconstituée";"35,3";"90,8";"0,6";"5,14";"1,31";"0,99";"2,8";"0,28";"0";"0,73";"-";"-";"0,76";"-";"-";"-";"-";"-";"-";"-";"0,015";"0,035";"-";"303";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"-"
"entrées et plats composés";"soupes";"-";"Soupe à la tomate et aux vermicelles, préemballée à réchauffer";"37,7";"-";"1,1";"5,87";"0,8";"3,43";"-";"1,3";"0";"0,5";"-";"-";"0,77";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"307";"-";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"soupes";"-";"Soupe aux céréales et aux légumes, déshydratée reconstituée";"47,8";"90";"1,4";"6,8";"1,4";"1,2";"-";"1,2";"0";"0,8";"-";"-";"0,78";"12,5";"-";"-";"0,29";"-";"9,35";"-";"-";"94";"-";"312";"-";"-";"-";"-";"-";"-";"-";"3,84";"0,04";"-";"0,47";"-";"0,07";"16,8";"-"
"entrées et plats composés";"soupes";"-";"Soupe à la tomate, déshydratée reconstituée";"36,2";"90,4";"0,76";"5,79";"0,97";"2,44";"2,4";"0,64";"0";"0,32";"0,41";"0,16";"0,69";"11";"417";"0,03";"0,14";"< 20";"5";"0,04";"10";"65";"< 20";"278";"0,1";"< 21";"147";"-";"0,25";"1,33";"-";"< 0,5";"0,02";"0,017";"0,46";"0,064";"0,027";"6,85";"0,14"
"entrées et plats composés";"soupes";"-";"Soupe aux champignons, déshydratée reconstituée";"37,8";"91,3";"0,65";"4,37";"1,79";"0,63";"2,3";"0,82";"0";"0,73";"0,6";"0,15";"0,79";"10";"512";"0,02";"0,02";"< 20";"2,5";"0,03";"9,51";"48";"< 20";"311";"0,07";"< 21";"14,7";"< 0,25";"0,24";"< 0,8";"-";"< 0,5";"0,03";"0,034";"0,37";"0,16";"0,033";"8,25";"0,028"
"entrées et plats composés";"soupes";"-";"Soupe à l'oignon, déshydratée reconstituée";"24";"94,1";"0,58";"4,37";"0,4";"1,3";"-";"0,31";"0";"0,23";"-";"-";"0,79";"20";"517";"0,043";"-";"1";"5,26";"0,043";"0,01";"56,7";"< 3,35";"318";"0,083";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"soupes";"-";"Soupe au potiron, préemballée à réchauffer";"35,9";"91,8";"0,67";"4,13";"1,56";"2,37";"1,1";"1,31";"0";"0,88";"0,56";"0,069";"0,65";"15";"421";"0,03";"0,14";"< 20";"5,8";"0,04";"17";"130";"< 20";"256";"0,13";"< 21";"2530";"0";"0,51";"1,03";"-";"< 0,5";"0,018";"0,014";"< 0,1";"0,13";"0,065";"9,35";"0,036"
"entrées et plats composés";"soupes";"-";"Bouillon de volaille, déshydraté reconstitué";"5,58";"97,1";"0,6";"0,5";"0,13";"0,18";"0";"< 0,0001";"0";"0,083";"0,022";"0,018";"0,78";"5";"-";"0";"0,05";"-";"1,5";"0,01";"0";"10";"0";"312";"0,01";"1";"0";"-";"-";"-";"-";"0";"0,005";"0,01";"0,1";"0,02";"0";"1";"0,055"
"entrées et plats composés";"soupes";"-";"Bouillon de légumes, déshydraté reconstitué";"5,38";"98";"0,34";"0,65";"0,16";"0,19";"0,2";"0";"0";"0,14";"0,011";"0,0067";"0,61";"1";"-";"0";"0,1";"-";"2";"0,01";"0";"8";"-";"240";"-";"0";"2";"-";"-";"-";"-";"0";"0,11";"0,01";"0,1";"-";"0";"1";"0"
